Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID
CJ Abrams,22,0,Maj-NL,Washington,97,377,347,53,89,18,4,10,41,17,0,78,9,3,1,5,24,2,0.257,0.308,0.418,0.725,682928
Jos\xc3\xa9 Abreu,36,0,Maj-AL,Houston,102,429,392,40,96,16,0,10,56,29,1,95,3,0,5,12,0,1,0.245,0.298,0.362,0.661,547989
Ronald Acuna Jr.,25,0,Maj-NL,Atlanta,103,473,412,93,138,26,1,24,61,54,2,56,5,0,2,9,50,8,0.335,0.417,0.578,0.994,660670
Willy Adames,27,0,Maj-NL,Milwaukee,96,413,361,44,73,16,0,17,48,41,0,109,4,0,5,9,4,3,0.202,0.287,0.388,0.675,642715
Riley Adams,27,1,Maj-NL,Washington,26,100,92,7,28,8,2,4,15,6,0,27,1,1,0,4,0,0,0.304,0.354,0.565,0.919,656180
Jo Adell,24,22,Maj-AL,Los Angeles,5,14,13,2,3,1,1,1,3,1,0,6,0,0,0,0,0,0,0.231,0.286,0.692,0.978,666176
Ehire Adrianza,33,90,Maj-NL,Atlanta,5,11,10,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0.0,0.091,0.0,0.091,501303
Jes\xc3\xbas Aguilar,33,64,Maj-AL,Oakland,36,115,104,8,23,2,0,5,9,8,2,31,1,0,1,3,0,0,0.221,0.281,0.385,0.665,542583
Nick Ahmed,33,5,Maj-NL,Arizona,52,153,145,13,33,9,0,2,14,8,0,37,0,0,0,0,5,1,0.228,0.268,0.331,0.599,605113
Hanser Alberto,30,60,Maj-AL,Chicago,30,90,82,11,18,5,0,3,16,4,0,13,1,2,1,1,0,0,0.22,0.261,0.39,0.652,593643
Ozzie Albies,26,0,Maj-NL,Atlanta,103,442,396,63,102,18,3,24,74,31,2,70,7,0,6,6,7,0,0.258,0.318,0.5,0.818,645277
Jorge Alfaro,30,0,"Maj-AL,Maj-NL","Boston,Colorado",17,52,48,2,7,4,0,1,4,2,0,15,2,0,0,3,0,0,0.146,0.212,0.292,0.503,595751
Greg Allen,30,0,Maj-AL,New York,14,22,18,5,3,0,1,1,1,2,0,8,1,1,0,0,1,1,0.167,0.286,0.444,0.73,656185
Nick Allen,24,0,Maj-AL,Oakland,57,169,154,14,28,1,1,1,7,10,0,31,0,4,1,4,1,1,0.182,0.23,0.221,0.451,669397
Pete Alonso,28,0,Maj-NL,New York,97,411,358,59,78,9,2,30,75,38,0,85,13,0,2,11,3,0,0.218,0.314,0.506,0.82,624413
Jose Altuve,33,0,Maj-AL,Houston,36,159,137,28,38,8,1,7,20,20,0,30,1,0,1,4,5,1,0.277,0.371,0.504,0.875,514888
Jake Alu,26,15,Maj-NL,Washington,5,15,14,0,3,0,0,0,0,1,0,4,0,0,0,0,1,0,0.214,0.267,0.214,0.481,666906
Francisco Alvarez,21,1,Maj-NL,New York,78,272,250,37,58,7,0,20,42,18,0,70,4,0,0,9,0,0,0.232,0.294,0.5,0.794,682626
Yordan Alvarez,26,0,Maj-AL,Houston,61,259,217,45,62,13,0,18,56,33,2,58,7,0,2,5,0,0,0.286,0.394,0.595,0.988,670541
Jacob Amaya,24,35,Maj-NL,Miami,4,9,9,1,2,0,0,0,2,0,0,1,0,0,0,0,1,0,0.222,0.222,0.222,0.444,676070
Miguel Amaya,24,0,Maj-NL,Chicago,31,101,83,11,21,4,0,2,13,6,0,26,10,1,1,2,0,0,0.253,0.37,0.374,0.744,665804
Brian Anderson,30,21,Maj-NL,Milwaukee,85,334,292,35,67,11,2,9,38,35,0,99,4,0,3,9,0,3,0.23,0.317,0.373,0.691,605119
Tim Anderson,30,0,Maj-AL,Chicago,82,357,335,37,82,11,1,1,19,19,0,73,1,0,2,13,10,1,0.245,0.286,0.293,0.578,641313
Elvis Andrus,34,0,Maj-AL,Chicago,71,254,226,21,47,8,1,2,20,21,1,43,4,1,2,1,6,4,0.208,0.285,0.279,0.563,462101
Miguel Andujar,28,74,Maj-NL,Pittsburgh,13,33,31,2,5,1,0,2,6,2,0,5,0,0,0,0,0,0,0.161,0.212,0.387,0.599,609280
Jonathan Aranda,25,14,Maj-AL,Tampa Bay,4,15,15,2,3,1,0,0,2,0,0,6,0,0,0,0,0,0,0.2,0.2,0.267,0.467,666018
Orlando Arcia,28,0,Maj-NL,Atlanta,82,316,292,42,87,13,0,10,36,23,0,60,1,0,0,10,1,0,0.298,0.351,0.445,0.797,606115
Nolan Arenado,32,0,Maj-NL,St. Louis,102,433,394,48,110,20,2,22,77,30,3,78,2,0,7,14,2,3,0.279,0.328,0.508,0.836,571448
Gabriel Arias,23,0,Maj-AL,Cleveland,77,177,154,16,30,6,0,4,6,23,0,56,0,0,0,7,1,3,0.195,0.299,0.312,0.611,672356
Randy Arozarena,28,1,Maj-AL,Tampa Bay,102,434,366,61,95,10,2,17,62,51,0,104,13,0,4,6,12,7,0.26,0.366,0.437,0.804,668227
Luis Arraez,26,0,Maj-NL,Miami,100,426,387,42,146,24,2,3,51,31,8,24,4,1,3,13,1,2,0.377,0.426,0.473,0.899,650333
Christian Arroyo,28,0,Maj-AL,Boston,63,199,188,23,46,15,0,3,22,7,0,44,1,1,2,6,1,3,0.245,0.273,0.372,0.645,624414
Jos\xc3\xa9 Azocar,27,59,Maj-NL,San Diego,26,55,51,8,12,2,0,0,3,1,0,11,0,3,0,0,6,1,0.235,0.25,0.275,0.525,640492
Akil Baddoo,24,0,Maj-AL,Detroit,66,216,187,21,39,8,0,5,22,27,2,50,0,1,1,2,6,2,0.209,0.307,0.332,0.639,668731
Harrison Bader,29,0,Maj-AL,New York,56,210,196,28,51,7,2,7,33,6,0,33,3,1,4,4,10,2,0.26,0.287,0.424,0.711,664056
Ji Hwan Bae,23,29,Maj-NL,Pittsburgh,76,239,214,37,51,9,0,2,19,18,0,58,2,3,2,2,20,6,0.238,0.301,0.308,0.609,678225
Javier B\xc3\xa1ez,30,0,Maj-AL,Detroit,101,417,391,46,88,12,4,7,48,17,0,92,5,0,3,9,10,0,0.225,0.264,0.33,0.594,595879
Patrick Bailey,24,0,Maj-NL,San Francisco,54,201,189,17,48,13,1,5,31,6,0,56,3,2,1,5,1,0,0.254,0.286,0.413,0.699,672275
Luken Baker,26,25,Maj-NL,St. Louis,7,20,19,2,5,0,0,0,0,1,0,8,0,0,0,0,0,0,0.263,0.3,0.263,0.563,663609
Rylan Bannon,27,91,Maj-AL,Houston,2,6,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,676625
Austin Barnes,33,0,Maj-NL,Los Angeles,38,125,112,4,13,2,0,0,5,10,0,30,2,0,1,6,2,1,0.116,0.2,0.134,0.334,605131
Tucker Barnhart,32,4,Maj-NL,Chicago,40,116,102,5,21,3,0,1,9,12,0,38,1,0,1,3,1,0,0.206,0.293,0.265,0.558,571466
Tres Barrera,28,67,Maj-NL,St. Louis,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,668663
Jose Barrero,25,46,Maj-NL,Cincinnati,46,149,133,15,29,8,0,2,17,15,0,44,0,0,1,1,3,2,0.218,0.295,0.323,0.619,676480
Joey Bart,26,74,Maj-NL,San Francisco,26,84,78,8,18,5,0,0,4,2,0,21,4,0,0,0,0,0,0.231,0.286,0.295,0.581,663698
Matthew Batten,28,0,Maj-NL,San Diego,9,15,13,2,3,0,0,1,2,2,0,2,0,0,0,0,0,1,0.231,0.333,0.462,0.795,676946
Brett Baty,23,0,Maj-NL,New York,80,288,260,33,60,11,0,7,26,22,0,78,2,0,1,7,2,0,0.231,0.295,0.354,0.649,683146
Jake Bauers,27,0,Maj-AL,New York,53,169,148,20,34,13,0,8,21,19,0,52,0,0,2,3,2,0,0.23,0.314,0.48,0.793,641343
Matt Beaty,30,39,"Maj-AL,Maj-NL","Kansas City,San Francisco",7,11,10,1,3,1,0,0,3,1,0,2,0,0,0,0,0,0,0.3,0.364,0.4,0.764,607461
Josh Bell,30,0,Maj-AL,Cleveland,96,389,343,25,80,19,0,11,48,43,1,80,1,0,2,6,0,1,0.233,0.319,0.385,0.704,605137
Cody Bellinger,27,0,Maj-NL,Chicago,74,314,280,55,88,15,1,15,46,24,2,50,3,0,7,3,12,3,0.314,0.366,0.536,0.902,641355
Brandon Belt,35,2,Maj-AL,Toronto,72,280,235,30,57,18,0,8,26,42,1,101,1,0,2,3,0,0,0.243,0.357,0.421,0.778,474832
Anthony Bemboom,33,28,Maj-AL,Baltimore,6,13,11,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0.182,0.308,0.182,0.49,621532
Andrew Benintendi,28,0,Maj-AL,Chicago,99,416,374,51,105,24,1,2,29,36,5,59,3,1,2,5,12,1,0.281,0.347,0.366,0.713,643217
Will Benson,25,0,Maj-NL,Cincinnati,59,183,157,28,43,8,4,7,19,26,0,54,0,0,0,1,10,2,0.274,0.377,0.51,0.887,666181
Jon Berti,33,0,Maj-NL,Miami,87,290,268,40,80,12,2,2,20,17,2,54,1,2,2,8,12,4,0.299,0.34,0.381,0.721,542932
Christian Bethancourt,31,1,Maj-AL,Tampa Bay,70,231,219,31,48,13,0,7,22,9,0,60,0,1,2,5,0,0,0.219,0.248,0.374,0.622,542194
Mookie Betts,30,2,Maj-NL,Los Angeles,99,460,386,81,107,26,1,27,68,65,3,73,4,0,5,4,7,2,0.277,0.383,0.56,0.942,605141
Bo Bichette,25,0,Maj-AL,Toronto,105,469,447,50,142,25,1,17,59,20,0,86,2,0,0,12,3,3,0.318,0.35,0.492,0.842,666182
Cavan Biggio,28,0,Maj-AL,Toronto,66,171,153,26,33,5,0,7,19,14,0,50,4,0,0,0,3,2,0.216,0.298,0.386,0.684,624415
Charlie Blackmon,36,50,Maj-NL,Colorado,56,242,211,34,56,14,2,5,26,21,0,33,7,0,3,4,0,1,0.265,0.347,0.422,0.769,453568
Dairon Blanco,30,0,Maj-AL,Kansas City,29,68,63,7,15,6,3,0,7,3,0,17,2,0,0,1,8,3,0.238,0.294,0.429,0.723,680118
JJ Bleday,25,0,Maj-AL,Oakland,66,243,203,28,43,11,0,8,25,35,0,54,2,0,3,2,5,1,0.212,0.329,0.384,0.713,668709
Xander Bogaerts,30,0,Maj-NL,San Diego,100,428,377,51,100,17,0,11,37,44,0,78,4,0,3,13,11,1,0.265,0.346,0.398,0.744,593428
Alec Bohm,26,0,Maj-NL,Philadelphia,92,377,345,45,98,17,0,10,65,26,0,64,3,0,3,14,3,1,0.284,0.337,0.42,0.757,664761
Jackie Bradley Jr.,33,53,Maj-AL,Kansas City,43,113,105,10,14,5,0,1,6,5,0,29,2,1,0,3,0,0,0.133,0.188,0.21,0.397,598265
Alex Bregman,29,0,Maj-AL,Houston,105,465,406,64,103,14,2,18,69,56,1,57,2,0,1,12,3,0,0.254,0.346,0.431,0.777,608324
Will Brennan,25,0,Maj-AL,Cleveland,95,306,290,27,76,17,0,5,28,10,1,40,5,0,1,2,7,3,0.262,0.297,0.372,0.67,686823
Jonah Bride,27,9,Maj-AL,Oakland,21,65,53,5,10,1,0,0,4,7,0,13,3,1,1,1,0,0,0.189,0.313,0.208,0.52,681146
Mike Brosseau,29,56,Maj-NL,Milwaukee,29,78,73,4,15,2,0,4,8,4,0,20,1,0,0,2,0,0,0.206,0.256,0.397,0.654,670712
Seth Brown,30,0,Maj-AL,Oakland,61,217,193,21,40,8,0,10,30,21,0,65,1,1,1,4,2,1,0.207,0.287,0.404,0.691,664913
Vidal Bruj\xc3\xa1n,25,1,Maj-AL,Tampa Bay,27,60,56,10,11,2,0,0,5,2,0,15,1,1,0,1,2,1,0.196,0.237,0.232,0.469,660644
Kris Bryant,31,8,Maj-NL,Colorado,65,275,243,27,61,7,0,8,23,26,0,48,6,0,0,4,0,0,0.251,0.338,0.379,0.717,592178
Peyton Burdick,26,70,Maj-NL,Miami,14,37,33,4,6,2,0,1,2,3,0,18,1,0,0,0,1,0,0.182,0.27,0.333,0.604,680814
Jake Burger,27,0,Maj-AL,Chicago,88,323,294,44,63,15,1,25,52,22,0,102,5,0,2,3,1,1,0.214,0.279,0.527,0.806,669394
Alec Burleson,24,0,Maj-NL,St. Louis,74,234,213,24,51,13,1,6,21,14,0,25,2,1,1,11,0,1,0.239,0.291,0.394,0.686,676475
Michael Busch,25,35,Maj-NL,Los Angeles,15,51,45,6,9,3,0,0,4,6,0,16,0,0,0,0,1,0,0.2,0.294,0.267,0.561,683737
Byron Buxton,29,0,Maj-AL,Minnesota,84,343,300,49,62,16,1,17,42,35,2,108,4,0,4,3,9,0,0.207,0.295,0.437,0.731,621439
Jos\xc3\xa9 Caballero,26,1,Maj-AL,Seattle,66,204,167,24,38,6,1,3,21,24,0,45,10,0,3,0,18,2,0.228,0.353,0.329,0.682,676609
Trey Cabbage,26,0,Maj-AL,Los Angeles,12,35,34,2,7,2,0,1,6,0,0,17,0,0,1,1,0,1,0.206,0.2,0.353,0.553,663550
Miguel Cabrera,40,0,Maj-AL,Detroit,61,222,195,12,49,12,0,1,17,24,0,44,1,0,2,8,0,0,0.251,0.333,0.328,0.662,408234
Oswaldo Cabrera,24,8,Maj-AL,New York,79,215,195,26,40,8,0,4,22,15,1,46,2,1,2,6,6,0,0.205,0.266,0.308,0.574,665828
Willie Calhoun,28,39,Maj-AL,New York,44,149,134,16,32,7,0,5,16,14,1,20,0,0,1,2,0,0,0.239,0.309,0.403,0.712,641432
Alex Call,28,0,Maj-NL,Washington,85,329,286,33,60,11,1,6,31,34,0,58,6,1,2,1,9,5,0.21,0.305,0.318,0.623,669743
Luis Campusano,24,0,Maj-NL,San Diego,17,61,58,9,16,3,0,2,8,2,0,11,0,0,1,4,0,0,0.276,0.295,0.431,0.726,669134
Jeimer Candelario,29,0,Maj-NL,Washington,99,419,368,57,95,30,2,16,53,36,1,88,12,0,2,10,6,1,0.258,0.342,0.481,0.823,600869
Mark Canha,34,0,Maj-NL,New York,89,303,257,28,63,15,1,6,29,32,0,52,9,0,5,8,7,0,0.245,0.343,0.381,0.725,592192
Dominic Canzone,25,0,Maj-NL,Arizona,15,41,38,4,9,2,0,1,8,2,0,8,1,0,0,1,0,0,0.237,0.293,0.368,0.661,686527
Conner Capel,26,28,Maj-AL,Oakland,32,86,73,6,19,5,0,0,3,12,0,25,1,0,0,1,5,3,0.26,0.372,0.329,0.701,668843
Victor Caratini,29,1,Maj-NL,Milwaukee,41,152,132,15,33,1,0,5,18,16,0,34,3,0,1,5,1,1,0.25,0.342,0.371,0.713,605170
Dylan Carlson,24,0,Maj-NL,St. Louis,69,232,200,25,46,6,1,5,24,23,0,48,7,0,2,4,3,0,0.23,0.328,0.345,0.673,666185
Kerry Carpenter,25,0,Maj-AL,Detroit,63,230,209,23,54,8,1,11,35,17,1,55,3,0,1,1,0,0,0.258,0.322,0.464,0.786,681481
Matt Carpenter,37,6,Maj-NL,San Diego,66,207,169,15,28,11,0,4,27,32,0,61,1,0,4,2,1,0,0.166,0.296,0.302,0.598,572761
Corbin Carroll,22,0,Maj-NL,Arizona,101,413,362,76,102,21,5,21,57,39,1,84,7,3,2,3,32,3,0.282,0.361,0.541,0.902,682998
Curt Casali,34,12,Maj-NL,Cincinnati,40,96,80,8,14,2,0,0,6,11,0,23,2,3,0,1,0,0,0.175,0.29,0.2,0.49,592200
Triston Casas,23,0,Maj-AL,Boston,92,342,292,46,74,15,2,16,40,48,0,87,0,0,2,6,0,0,0.253,0.357,0.483,0.84,671213
Nick Castellanos,31,0,Maj-NL,Philadelphia,103,440,410,52,112,26,1,14,60,25,0,120,2,0,3,8,6,2,0.273,0.316,0.444,0.76,592206
Harold Castro,29,0,Maj-NL,Colorado,78,224,215,21,58,12,0,1,25,6,0,53,0,1,2,4,0,0,0.27,0.287,0.34,0.627,605612
Rodolfo Castro,24,22,Maj-NL,Pittsburgh,78,224,197,19,45,7,0,6,22,21,1,62,5,0,1,4,1,4,0.228,0.317,0.355,0.672,666801
Willi Castro,26,0,Maj-AL,Minnesota,90,276,243,38,60,11,2,5,23,22,1,70,9,1,1,1,26,4,0.247,0.331,0.37,0.701,650489
Jake Cave,30,1,Maj-NL,Philadelphia,27,92,84,4,19,6,0,1,11,7,0,24,0,0,1,2,3,0,0.226,0.283,0.333,0.616,595909
Yu Chang,27,0,Maj-AL,Boston,33,94,87,11,14,2,0,5,17,3,0,30,2,2,0,2,3,0,0.161,0.207,0.356,0.563,644374
Matt Chapman,30,0,Maj-AL,Toronto,103,434,376,57,98,33,1,14,44,52,1,117,4,0,2,4,3,2,0.261,0.355,0.465,0.82,656305
Michael Chavis,27,4,Maj-NL,Washington,29,60,56,9,14,2,0,1,4,4,0,20,0,0,0,1,0,0,0.25,0.3,0.339,0.639,656308
Jazz Chisholm Jr.,25,28,Maj-NL,Miami,45,183,167,20,41,4,1,9,21,12,0,57,2,1,1,1,14,2,0.246,0.302,0.443,0.745,665862
Ji Man Choi,32,0,Maj-NL,Pittsburgh,23,76,73,9,15,4,0,6,11,2,0,27,0,0,1,1,0,0,0.206,0.224,0.507,0.731,596847
Kody Clemens,27,29,Maj-NL,Philadelphia,47,148,139,15,32,7,0,4,13,8,0,40,1,0,0,1,0,0,0.23,0.277,0.367,0.644,665019
Ernie Clement,27,21,Maj-AL,Toronto,11,9,7,3,3,0,0,0,2,1,0,1,0,0,1,0,1,0,0.429,0.444,0.429,0.873,676391
Oscar Col\xc3\xa1s,24,0,Maj-AL,Chicago,44,150,139,14,30,4,0,1,10,7,0,40,1,1,2,1,4,3,0.216,0.255,0.266,0.521,693049
Michael Conforto,30,0,Maj-NL,San Francisco,90,353,307,45,74,10,0,13,52,37,2,83,6,0,3,8,4,0,0.241,0.331,0.401,0.732,624424
William Contreras,25,0,Maj-NL,Milwaukee,86,360,322,44,89,21,1,11,43,33,0,70,4,0,1,14,1,1,0.276,0.35,0.45,0.8,661388
Willson Contreras,31,1,Maj-NL,St. Louis,90,358,309,37,77,22,0,11,40,36,0,82,11,0,2,11,5,2,0.249,0.346,0.427,0.774,575929
Garrett Cooper,32,0,Maj-NL,Miami,81,320,302,28,78,11,1,13,46,16,0,96,1,0,1,9,0,0,0.258,0.297,0.431,0.727,643265
Franchy Cordero,28,8,Maj-AL,New York,24,71,69,9,13,2,0,6,13,2,0,25,0,0,0,0,0,0,0.188,0.211,0.478,0.69,614173
Carlos Correa,28,0,Maj-AL,Minnesota,95,415,372,38,85,23,2,12,45,39,2,95,2,0,2,20,0,0,0.229,0.304,0.398,0.701,621043
Colton Cowser,23,1,Maj-AL,Baltimore,18,59,47,10,5,1,0,0,4,9,0,15,2,0,1,1,0,0,0.106,0.271,0.128,0.399,681297
Brandon Crawford,36,0,Maj-NL,San Francisco,65,227,203,22,43,10,0,5,26,20,1,57,2,1,1,5,3,0,0.212,0.288,0.335,0.623,543063
J.P. Crawford,28,0,Maj-AL,Seattle,98,418,351,57,93,25,0,9,36,61,1,78,2,3,1,5,1,0,0.265,0.376,0.413,0.789,641487
Kutter Crawford,27,103,Maj-AL,Boston,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,676710
C.J. Cron,33,0,Maj-NL,Colorado,56,224,208,31,54,12,0,11,32,13,0,50,1,0,2,10,0,0,0.26,0.304,0.476,0.78,543068
Jake Cronenworth,29,0,Maj-NL,San Diego,104,429,370,43,80,17,6,8,38,43,2,83,9,1,5,8,5,1,0.216,0.309,0.36,0.669,630105
Nelson Cruz,42,27,Maj-NL,San Diego,49,152,143,9,35,5,1,5,23,6,1,46,2,0,1,2,1,0,0.245,0.283,0.399,0.682,443558
Oneil Cruz,24,112,Maj-NL,Pittsburgh,9,40,32,7,8,1,0,1,4,7,0,8,0,0,1,0,3,0,0.25,0.375,0.375,0.75,665833
Charlie Culberson,34,14,Maj-NL,Atlanta,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0,518586
Travis d\'Arnaud,34,1,Maj-NL,Atlanta,41,163,147,21,39,7,0,9,25,14,0,37,1,0,1,2,0,0,0.265,0.331,0.497,0.828,518595
David Dahl,29,117,Maj-NL,San Diego,4,9,9,1,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0.111,0.111,0.444,0.556,621311
Bobby Dalbec,28,35,Maj-AL,Boston,9,14,12,1,2,0,0,0,0,2,0,8,0,0,0,0,1,0,0.167,0.286,0.167,0.452,666915
Henry Davis,23,0,Maj-NL,Pittsburgh,35,144,126,17,30,6,0,4,12,15,1,29,3,0,0,2,3,3,0.238,0.333,0.381,0.714,680779
J.D. Davis,30,0,Maj-NL,San Francisco,98,379,330,42,85,14,1,14,52,39,0,108,4,0,5,11,1,0,0.258,0.339,0.433,0.772,605204
Jonathan Davis,31,26,Maj-NL,Miami,34,104,90,22,22,4,1,2,10,7,0,29,2,2,2,1,1,2,0.244,0.307,0.378,0.685,641505
Yonathan Daza,29,89,Maj-NL,Colorado,24,80,74,8,20,6,0,0,7,3,0,13,1,1,1,5,1,0,0.27,0.304,0.351,0.655,602074
Bryan De La Cruz,26,0,Maj-NL,Miami,102,422,389,45,104,22,0,14,57,28,0,105,0,0,5,12,3,1,0.267,0.313,0.432,0.745,650559
Elly De La Cruz,21,0,Maj-NL,Cincinnati,46,202,188,37,52,10,3,7,20,12,2,65,1,0,1,4,17,4,0.277,0.322,0.473,0.795,682829
Paul DeJong,29,0,Maj-NL,St. Louis,81,306,279,38,65,11,0,13,32,21,0,87,5,0,1,8,4,4,0.233,0.297,0.412,0.71,657557
Jason Delay,28,14,Maj-NL,Pittsburgh,50,118,104,11,27,7,1,1,10,9,0,30,2,2,1,3,0,0,0.26,0.328,0.375,0.703,641511
Jonny Deluca,24,5,Maj-NL,Los Angeles,24,45,42,5,11,1,0,2,6,3,0,8,0,0,0,0,1,0,0.262,0.311,0.429,0.74,676356
Rafael Devers,26,0,Maj-AL,Boston,99,426,383,57,100,23,0,25,76,35,5,84,5,0,3,8,2,1,0.261,0.329,0.517,0.846,646240
Aledmys D\xc3\xadaz,32,0,Maj-AL,Oakland,77,252,230,18,48,11,0,2,16,12,1,48,6,1,3,11,1,0,0.209,0.263,0.283,0.546,649557
Elias D\xc3\xadaz,32,1,Maj-NL,Colorado,92,352,319,32,87,16,1,10,48,27,0,73,2,0,4,8,0,0,0.273,0.33,0.423,0.753,553869
Isan D\xc3\xadaz,27,35,Maj-NL,San Francisco,2,8,8,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,656371
Jordan Diaz,22,0,Maj-AL,Oakland,44,139,131,10,33,3,0,6,15,5,0,32,2,0,1,3,0,1,0.252,0.288,0.412,0.7,672478
Yainer Diaz,24,1,Maj-AL,Houston,63,227,215,27,57,13,0,13,31,6,0,42,1,0,5,9,0,0,0.265,0.282,0.507,0.789,673237
Yandy D\xc3\xadaz,31,0,Maj-AL,Tampa Bay,89,387,336,61,106,21,0,14,51,44,0,64,5,0,2,11,0,1,0.316,0.401,0.503,0.904,650490
Corey Dickerson,34,0,Maj-NL,Washington,47,144,137,8,34,6,0,2,17,6,0,26,0,0,1,3,0,1,0.248,0.278,0.336,0.614,572816
Brandon Dixon,31,14,Maj-NL,San Diego,33,86,79,10,16,4,0,2,9,1,0,31,4,0,2,1,1,0,0.203,0.244,0.329,0.573,641525
Josh Donaldson,37,15,Maj-AL,New York,33,120,106,13,15,1,0,10,15,12,0,32,0,0,2,2,0,0,0.142,0.225,0.434,0.659,518626
Brendan Donovan,26,1,Maj-NL,St. Louis,95,371,327,48,92,10,1,11,34,33,2,53,9,1,1,4,5,1,0.281,0.362,0.419,0.781,680977
